Game,Opponent,True Probability (%),Bet Amount ($),Game Outcome,Profit ($),Cumulative Profit ($)
1,Indiana Pacers,80,3,1,40,3
2,Houston Rockets,30,16,0,0,-13
3,Portland Trail Blazers,40,48,1,0,35
4,Houston Rockets,40,6,0,0,29
5,Brooklyn Nets,10,48,0,0,-19
6,Miami Heat,70,19,1,30,0
7,Miami Heat,80,41,0,-40,-41
8,Minnesota Timberwolves,30,48,1,0,7
9,Cleveland Cavaliers,80,22,0,-40,-15
10,Cleveland Cavaliers,60,44,1,20,29
11,Toronto Raptors,40,26,0,0,3
12,Oklahoma City Thunder,50,19,0,-10,-16
13,Boston Celtics,90,28,0,-50,-44
14,Orlando Magic,90,38,1,50,-6
15,Indiana Pacers,40,38,1,0,32
16,Atlanta Hawks,100,29,1,50,61
17,Brooklyn Nets,60,41,1,20,102
18,Milwaukee Bucks,0,34,0,0,68
19,Memphis Grizzlies,10,42,0,0,26
20,Detroit Pistons,10,50,1,0,76
21,LA Clippers,0,3,0,0,73
22,Los Angeles Lakers,70,1,0,-30,72
23,Philadelphia 76ers,70,47,1,30,119
24,LA Clippers,50,4,0,-10,115
25,Philadelphia 76ers,30,47,1,0,162
26,Philadelphia 76ers,80,23,1,40,185
27,Phoenix Suns,60,37,1,20,222
28,Philadelphia 76ers,60,47,1,20,269
29,Miami Heat,30,27,1,0,296
30,Portland Trail Blazers,10,16,0,0,280
31,Detroit Pistons,30,17,0,0,263
32,Philadelphia 76ers,40,4,0,0,259
33,LA Clippers,100,2,1,50,261
34,Golden State Warriors,20,26,0,0,235
35,Detroit Pistons,100,38,1,50,273
36,Golden State Warriors,30,6,0,0,267
37,Brooklyn Nets,30,26,1,0,293
38,Charlotte Hornets,70,42,0,-30,251
39,Sacramento Kings,0,35,0,0,216
40,Phoenix Suns,30,20,0,0,196
41,Minnesota Timberwolves,70,16,1,30,212
42,Toronto Raptors,90,39,1,50,251
43,New Orleans Pelicans,80,11,1,40,262
44,Washington Wizards,20,22,0,0,240
45,Indiana Pacers,50,2,1,10,242
46,Houston Rockets,60,2,0,-20,240
47,Atlanta Hawks,100,7,1,50,247
48,Golden State Warriors,90,10,1,50,257
49,Orlando Magic,100,1,1,50,258
50,Indiana Pacers,100,40,1,50,298
51,Dallas Mavericks,50,41,0,-10,257
52,LA Clippers,80,28,0,-40,229
53,Boston Celtics,10,14,0,0,215
54,Utah Jazz,90,47,1,50,262
55,LA Clippers,70,20,1,30,282
56,New Orleans Pelicans,50,4,0,-10,278
57,Philadelphia 76ers,60,35,1,20,313
58,Milwaukee Bucks,30,36,0,0,277
59,Boston Celtics,100,35,1,50,312
60,Cleveland Cavaliers,50,49,0,-10,263
61,Denver Nuggets,50,46,0,-10,217
62,Denver Nuggets,30,24,0,0,193
63,Dallas Mavericks,20,21,0,0,172
64,LA Clippers,70,37,0,-30,135
65,Houston Rockets,0,35,0,0,100
66,Philadelphia 76ers,0,34,0,0,66
67,Portland Trail Blazers,80,50,1,40,116
68,Houston Rockets,50,30,0,-10,86
69,Sacramento Kings,30,35,0,0,51
70,Miami Heat,50,0,0,-10,51
71,Los Angeles Lakers,0,50,0,0,1
72,Boston Celtics,40,22,1,0,23
73,Detroit Pistons,10,28,1,0,51
74,Boston Celtics,50,47,0,-10,4
75,Toronto Raptors,40,40,1,0,44
76,Toronto Raptors,100,21,1,50,65
77,Golden State Warriors,10,21,0,0,44
78,LA Clippers,10,38,0,0,6
79,Washington Wizards,40,25,0,0,-19
80,Milwaukee Bucks,0,29,0,0,-48
81,Denver Nuggets,100,39,1,50,-9
82,Minnesota Timberwolves,0,35,0,0,-44
