True Probabilities,Estimated Probabilities,Random Betting
460,-30,-291
1320,1030,672
1030,600,78
1030,500,-92
1230,460,107
820,290,-229
780,780,203
1040,610,-193
920,540,-91
880,600,-75
1060,560,281
730,190,263
980,300,-69
740,360,-234
1040,920,84
1030,380,-94
1020,820,232
780,400,-215
750,200,-194
670,340,37
970,310,-160
760,510,-63
1010,400,394
730,320,-356
1030,770,40
860,330,265
1290,720,556
1190,600,292
860,290,-29
1460,960,555
850,710,5
1360,1130,255
910,450,155
720,580,-215
930,830,-8
1200,870,90
970,840,74
930,580,128
1070,760,178
1080,580,39
1070,660,-61
930,770,-333
860,530,-193
1220,570,100
1120,700,-147
870,710,39
1470,790,379
1080,410,117
820,440,-213
890,270,248
1170,660,73
1140,560,305
1300,620,440
1370,910,527
860,350,-117
1270,760,133
1580,890,412
740,280,-242
1220,1150,-7
1110,510,71
820,680,-115
1170,480,357
800,370,-594
1350,860,149
980,450,-18
1080,680,-105
920,530,83
890,290,-459
810,340,57
1090,300,97
950,520,-23
810,510,-76
730,260,-557
590,460,-337
900,610,-365
890,610,136
950,810,-101
1120,950,34
970,740,-17
790,440,-9
910,660,319
890,720,172
1070,710,-209
820,480,-290
720,180,-459
1410,1070,485
1000,850,45
790,300,-601
1070,540,205
820,340,-305
710,220,-105
1100,990,68
720,350,-78
950,450,-78
1120,500,253
960,620,-104
930,300,-29
1060,800,130
1280,380,-55
1150,630,24
750,200,-141
920,570,-209
1450,1080,555
1210,760,-31
700,350,-208
1070,540,-97
930,540,479
440,70,-550
560,120,-249
990,570,179
930,690,-43
700,290,-111
630,-90,-478
1110,170,-120
830,370,245
1110,760,118
1040,520,185
1030,120,-12
800,510,-60
1480,740,359
860,380,230
700,170,-279
990,430,-92
1100,850,401
600,110,-171
1170,880,646
840,320,-185
1040,380,-163
1080,820,168
1170,580,-131
710,200,-118
730,300,-182
480,240,-341
800,360,66
1010,730,100
510,370,-488
1020,710,-129
1150,500,-79
920,580,9
900,370,-260
1150,940,39
1170,740,25
1200,770,7
930,780,247
830,520,254
670,280,-478
520,430,-564
660,420,-517
1140,580,30
920,790,-243
740,530,-45
1100,680,68
900,260,47
1150,960,-19
950,360,-416
1320,700,729
1270,750,186
980,820,-238
1310,730,110
1280,570,487
1220,990,290
850,540,-246
250,270,-442
950,430,362
900,680,-286
790,480,-322
1110,460,194
770,110,-369
960,220,85
1150,910,251
1250,710,184
930,310,-202
1140,1200,282
940,730,-41
970,290,9
1420,900,359
840,230,22
820,280,-180
740,430,-185
1070,680,402
630,130,-407
720,270,-115
1120,520,233
530,340,-449
600,390,-271
1200,870,49
1060,830,56
930,560,-493
1010,310,-70
710,-170,-599
1250,660,254
940,540,-228
590,170,-601
1030,680,184
880,140,-146
720,440,67
1210,710,144
650,390,-341
1160,750,230
920,580,-315
830,90,259
790,390,-413
950,610,21
1150,670,-87
1360,710,296
600,190,-181
950,410,-55
860,660,121
870,390,267
1220,820,415
1300,780,153
1080,780,403
1110,520,-78
730,320,-182
1060,740,18
1010,530,-18
930,650,117
1060,670,29
680,100,71
860,110,208
860,180,-245
960,450,-321
860,610,-276
1060,1130,131
1190,680,140
1070,400,108
1000,360,-144
980,170,-47
1120,940,170
760,320,-530
1250,790,217
550,270,-356
1430,1020,180
1060,670,-6
880,600,-138
530,200,-370
1230,660,137
1050,430,-153
610,170,-293
870,340,-165
850,580,-282
1200,620,-136
800,310,-273
1280,1120,552
1260,1360,618
840,280,-1
1230,390,4
1000,630,-195
750,310,-92
930,170,-126
1170,690,129
710,470,-441
1330,810,198
1010,600,-304
840,400,-1
820,150,-327
1250,900,452
1160,730,224
900,500,93
920,560,-185
1660,1080,702
750,490,-305
730,260,-310
1140,680,147
910,560,110
700,260,-307
1010,150,-189
540,290,-252
1100,900,193
1120,600,395
1230,710,-143
1060,600,19
660,0,-225
1050,730,-155
1370,940,450
900,780,-345
1440,890,284
1070,520,-14
990,610,-231
960,480,79
820,790,292
550,120,-532
890,460,-120
910,300,178
1290,700,107
820,560,-88
1170,870,7
940,640,314
820,300,-410
960,650,-285
1180,880,6
1180,900,227
900,540,36
870,260,-196
800,-70,-487
1040,670,-48
1160,760,485
1030,440,136
1160,370,62
820,280,-312
1000,540,39
510,140,-473
900,310,222
1240,690,279
1140,820,61
980,510,-65
910,680,8
1050,520,182
1010,350,48
970,520,-25
950,720,110
1030,720,-142
710,500,-32
1020,500,17
1020,540,302
750,420,-28
1290,1260,345
1020,600,-70
1360,720,400
1000,960,347
1060,360,-25
870,590,110
860,70,1
870,560,-348
750,380,-67
790,620,-266
810,430,-45
820,390,106
1030,820,-5
640,280,-173
1120,1080,340
940,560,133
430,20,-391
960,950,384
1040,640,356
1080,510,283
730,270,-373
840,410,-489
1100,320,-327
910,280,-253
1320,860,254
1080,710,239
710,210,-305
620,560,-66
940,640,31
970,930,101
1100,520,209
1000,400,-62
1140,910,234
1120,590,177
570,80,32
870,100,-143
910,580,-68
1090,610,-159
470,170,-239
1150,550,140
920,390,130
1370,770,217
830,500,-129
930,830,-159
580,230,-178
910,650,-314
880,700,187
1150,300,74
1190,690,306
810,460,47
890,240,-275
810,370,-494
900,200,-39
1050,600,-211
970,560,-136
1200,630,7
730,470,-105
720,460,-180
750,380,-219
870,250,-394
1270,880,60
1340,1010,520
880,500,123
720,380,-272
1050,720,-8
550,130,-2
670,230,-21
1140,570,-85
690,150,-510
350,30,-533
1150,600,54
1170,540,314
1310,550,45
890,440,-285
790,350,-4
630,280,-190
1260,930,435
700,-20,-329
970,250,-157
1130,750,-62
1340,960,160
1120,780,146
1280,780,147
1110,660,226
710,200,-507
1040,600,-80
1150,780,219
920,60,-357
1200,900,50
840,410,47
1010,550,220
920,300,-202
820,100,-212
930,260,-46
1010,400,271
1200,590,-40
1180,980,339
1170,760,174
610,280,-155
890,530,-238
1000,280,113
910,590,-20
1140,630,-219
1020,900,70
1180,590,418
970,350,376
590,170,-559
1000,650,441
560,200,-542
790,210,-229
730,110,-129
1200,720,205
1080,640,248
1230,780,-55
900,930,-4
870,370,-143
1220,860,189
1200,740,202
860,380,203
830,740,-49
730,230,-510
740,490,-397
1030,640,-35
730,370,-132
1010,630,258
1260,690,-167
1460,1130,149
830,170,-221
890,370,50
1040,680,265
980,640,-77
1360,810,197
770,460,-51
1350,980,100
970,820,193
570,50,-565
770,210,-401
900,680,-449
750,400,-250
890,430,236
900,470,-96
980,560,-222
830,530,-259
1390,980,530
1130,470,55
480,20,-369
1150,850,341
860,690,-44
1310,500,62
1170,780,539
1390,1010,411
930,200,-415
790,120,-648
930,590,75
1030,240,96
1040,650,-309
880,650,-116
790,610,-23
1230,530,208
1260,650,330
690,200,-606
750,330,-61
1360,650,-37
900,1140,540
1030,390,43
1130,640,353
1110,360,-37
1170,870,166
1400,840,151
1130,550,434
850,490,54
910,610,3
1040,290,-254
1290,650,420
1010,670,159
860,390,-208
690,530,-127
1220,780,160
640,190,129
1340,730,402
1330,970,282
1040,510,257
1060,910,54
720,590,-25
760,440,142
850,350,-324
1090,900,454
850,440,-22
1220,830,270
1000,820,212
540,10,-631
910,340,-134
1190,820,242
970,560,-384
930,670,66
1290,580,794
880,330,-296
740,-40,-403
1140,1100,-10
1050,480,-147
600,490,75
1030,770,392
920,690,-72
870,570,-183
960,170,-136
780,230,-419
1120,660,-126
980,520,39
1260,940,478
660,470,-440
940,620,200
980,730,-45
1180,460,254
960,260,80
1270,820,367
500,70,-425
1240,570,360
810,240,-199
910,400,-314
1070,470,84
480,-100,-493
670,120,-206
680,500,56
1150,760,129
1340,1000,397
1260,580,-1
1070,520,-86
1260,720,332
760,170,-217
1310,1070,507
920,610,-173
970,300,84
520,490,-335
1250,540,481
920,830,-298
1110,320,138
920,590,72
980,740,179
740,100,55
1260,1170,310
1050,630,212
980,730,-115
1170,810,115
1220,730,-41
950,560,-118
